,Date,Home Team,xG Home,Score,xG Away,Away Team
61,2023-05-14,Ath Paranaense,2.9,3–2,0.4,Coritiba
62,2023-05-14,América (MG),1.3,0–4,2.6,Cruzeiro
63,2023-05-14,Goiás,1.9,2–1,1.5,Botafogo (RJ)
64,2023-05-13,Atlético Mineiro,2.0,2–0,0.3,Internacional
66,2023-05-20,Bahia,2.3,1–1,0.9,Goiás
67,2023-05-20,Bragantino,1.7,2–0,1.1,Ath Paranaense
68,2023-05-20,Coritiba,1.0,1–2,1.5,Atlético Mineiro
69,2023-05-20,Botafogo (RJ),1.4,1–0,0.9,Fluminense
70,2023-05-20,América (MG),0.8,2–1,1.2,Fortaleza
71,2023-05-20,São Paulo,2.3,4–2,1.1,Vasco da Gama
72,2023-05-21,Flamengo,0.6,1–0,1.2,Corinthians
73,2023-05-21,Grêmio,1.7,3–1,1.5,Internacional
74,2023-05-20,Santos,0.4,0–0,0.4,Palmeiras
75,2023-05-22,Cruzeiro,1.2,0–1,1.2,Cuiabá
77,2023-05-27,Fortaleza,1.5,2–0,0.7,Vasco da Gama
78,2023-05-27,Ath Paranaense,1.3,1–2,0.7,Grêmio
79,2023-05-27,Cuiabá,0.7,1–1,1.0,Coritiba
80,2023-05-27,Flamengo,2.0,1–1,1.2,Cruzeiro
81,2023-05-28,Corinthians,1.4,2–0,1.3,Fluminense
82,2023-05-28,Internacional,0.9,2–0,1.1,Bahia
83,2023-05-28,Bragantino,1.5,2–0,0.3,Santos
84,2023-05-28,Atlético Mineiro,0.8,1–1,1.1,Palmeiras
85,2023-05-28,Botafogo (RJ),2.1,2–0,0.4,América (MG)
86,2023-05-27,São Paulo,0.9,2–1,0.3,Goiás
88,2023-06-03,Fortaleza,0.6,0–0,0.3,Bahia
89,2023-06-03,Cruzeiro,1.8,0–1,0.6,Atlético Mineiro
90,2023-06-03,Ath Paranaense,0.9,1–0,0.6,Botafogo (RJ)
91,2023-06-03,América (MG),1.4,2–0,1.2,Corinthians
92,2023-06-04,Fluminense,1.1,2–1,0.6,Bragantino
93,2023-06-04,Grêmio,1.9,2–1,1.1,São Paulo
94,2023-06-04,Goiás,0.4,0–1,1.2,Cuiabá
95,2023-06-04,Palmeiras,2.5,3–1,0.6,Coritiba
96,2023-06-03,Santos,1.4,1–1,1.1,Internacional
97,2023-06-05,Vasco da Gama,1.5,1–4,1.1,Flamengo
99,2023-06-10,Coritiba,1.2,0–0,0.8,Santos
100,2023-06-10,Bahia,1.4,2–2,2.4,Cruzeiro
101,2023-06-10,Atlético Mineiro,1.7,1–1,0.5,Bragantino
102,2023-06-10,Corinthians,1.4,1–1,0.7,Cuiabá
103,2023-06-11,América (MG),1.9,2–2,0.8,Ath Paranaense
104,2023-06-11,Internacional,1.6,2–1,0.9,Vasco da Gama
105,2023-06-11,São Paulo,1.4,0–2,0.7,Palmeiras
106,2023-06-11,Flamengo,1.9,3–0,2.0,Grêmio
107,2023-06-11,Goiás,2.1,2–2,1.3,Fluminense
108,2023-06-10,Botafogo (RJ),3.7,2–0,0.4,Fortaleza
110,2023-06-21,São Paulo,0.6,2–1,1.2,Ath Paranaense
111,2023-06-21,Cruzeiro,1.1,0–1,1.8,Fortaleza
112,2023-06-21,Santos,0.8,0–2,1.3,Corinthians
113,2023-06-22,Grêmio,2.4,3–1,0.8,América (MG)
114,2023-06-22,Cuiabá,1.1,0–1,1.2,Botafogo (RJ)
115,2023-06-22,Vasco da Gama,1.7,0–1,0.4,Goiás
116,2023-06-22,Coritiba,1.5,0–1,0.9,Internacional
117,2023-06-21,Bahia,1.1,1–0,0.8,Palmeiras
118,2023-06-21,Fluminense,0.4,1–1,1.4,Atlético Mineiro
119,2023-06-22,Bragantino,3.3,4–0,0.8,Flamengo
121,2023-06-24,Ath Paranaense,2.7,1–0,0.9,Corinthians
122,2023-06-24,Fluminense,3.0,2–1,1.0,Bahia
123,2023-06-24,Fortaleza,0.8,2–1,1.0,Atlético Mineiro
124,2023-06-25,Grêmio,3.4,5–1,1.1,Coritiba
125,2023-06-25,Palmeiras,2.6,0–1,0.8,Botafogo (RJ)
126,2023-06-25,Bragantino,1.7,2–0,0.2,Goiás
127,2023-06-25,América (MG),1.3,1–2,1.0,Internacional
128,2023-06-25,Santos,1.8,2–3,0.8,Flamengo
129,2023-06-24,Cruzeiro,0.5,1–0,1.4,São Paulo
130,2023-06-26,Vasco da Gama,1.7,1–0,0.6,Cuiabá
132,2023-07-01,São Paulo,1.1,1–0,0.2,Fluminense
133,2023-07-01,Bahia,1.9,1–2,2.9,Grêmio
134,2023-07-01,Flamengo,1.3,2–0,1.6,Fortaleza
135,2023-07-02,Corinthians,0.6,0–1,0.9,Bragantino
136,2023-07-02,Botafogo (RJ),1.7,2–0,0.9,Vasco da Gama
137,2023-07-02,Atlético Mineiro,1.3,2–2,2.6,América (MG)
138,2023-07-02,Ath Paranaense,3.5,2–2,1.6,Palmeiras
139,2023-07-02,Cuiabá,1.1,3–0,0.3,Santos
140,2023-07-01,Internacional,2.0,0–0,1.0,Cruzeiro
141,2023-07-03,Goiás,1.9,1–2,0.9,Coritiba
143,2023-07-08,Cuiabá,1.5,1–1,0.3,Bahia
144,2023-07-08,Vasco da Gama,1.3,0–1,0.7,Cruzeiro
145,2023-07-08,Atlético Mineiro,1.4,0–1,0.8,Corinthians
146,2023-07-08,Coritiba,1.9,3–1,1.1,América (MG)
147,2023-07-09,Santos,2.4,4–3,1.9,Goiás
148,2023-07-09,Bragantino,1.6,0–0,0.5,São Paulo
149,2023-07-09,Fluminense,1.1,2–0,0.4,Internacional
150,2023-07-09,Fortaleza,1.5,1–0,1.2,Ath Paranaense
151,2023-07-09,Grêmio,1.6,0–2,1.1,Botafogo (RJ)
152,2023-07-08,Palmeiras,1.1,1–1,0.8,Flamengo
154,2023-07-16,Cruzeiro,0.8,0–0,1.1,Coritiba
155,2023-07-16,São Paulo,3.2,4–1,1.1,Santos
156,2023-07-16,Fortaleza,0.9,0–1,0.7,Cuiabá
157,2023-07-16,Fluminense,1.5,0–0,0.4,Flamengo
158,2023-07-16,Ath Paranaense,2.2,2–0,1.0,Bahia
159,2023-07-16,Internacional,0.5,0–0,1.4,Palmeiras
160,2023-07-15,Botafogo (RJ),1.0,2–0,1.4,Bragantino
161,2023-07-17,Goiás,1.5,0–0,0.2,Atlético Mineiro
163,2023-07-22,Palmeiras,1.4,3–1,1.5,Fortaleza
164,2023-07-22,Flamengo,2.5,1–1,1.3,América (MG)
165,2023-07-22,Cuiabá,2.2,2–1,0.9,São Paulo
166,2023-07-22,Bahia,1.4,0–0,0.1,Corinthians
167,2023-07-23,Santos,0.9,2–2,1.0,Botafogo (RJ)
168,2023-07-23,Cruzeiro,1.1,0–1,0.3,Goiás
169,2023-07-23,Bragantino,1.0,0–0,0.9,Internacional
170,2023-07-23,Vasco da Gama,1.5,0–2,1.3,Ath Paranaense
171,2023-07-22,Grêmio,0.7,1–0,0.9,Atlético Mineiro
172,2023-07-24,Coritiba,1.9,2–0,1.0,Fluminense
174,2023-07-29,Ath Paranaense,3.0,3–3,1.8,Cruzeiro
175,2023-07-29,Internacional,1.0,1–2,1.0,Cuiabá
176,2023-07-29,Fluminense,2.0,1–0,0.1,Santos
177,2023-07-29,Corinthians,1.3,3–1,1.7,Vasco da Gama
178,2023-07-29,Fortaleza,1.0,0–3,2.1,Bragantino
179,2023-07-30,São Paulo,1.8,0–0,0.5,Bahia
180,2023-07-30,América (MG),1.4,1–4,0.9,Palmeiras
181,2023-07-30,Botafogo (RJ),0.9,4–1,1.2,Coritiba
182,2023-07-30,Goiás,0.8,1–1,0.3,Grêmio
183,2023-07-29,Atlético Mineiro,0.9,1–2,1.8,Flamengo
185,2023-08-05,Santos,1.1,1–1,0.2,Ath Paranaense
186,2023-08-05,Goiás,0.9,1–0,0.7,Fortaleza
187,2023-08-05,Internacional,1.5,2–2,1.1,Corinthians
188,2023-08-06,São Paulo,0.9,0–2,1.9,Atlético Mineiro
