,Date,Home Team,Score,Away Team
233,2023-08-05,Ituano,1–1,Guarani
234,2023-08-05,CRB,0–0,Botafogo (SP)
235,2023-08-05,Sport Recife,1–0,Grêmio Novorizontino
236,2023-08-04,Mirassol Futebol Clube,0–0,Sampaio Corrêa
237,2023-08-06,Ponte Preta,1–0,Chapecoense
238,2023-08-06,Ceará,1–0,ABC
239,2023-08-07,Juventude,0–2,Vila Nova
240,2023-08-07,Atl Goianiense,3–2,Tombense Futebol Clube
241,2023-08-07,Londrina,2–0,Vitória
243,2023-08-11,Grêmio Novorizontino,2–1,Mirassol Futebol Clube
244,2023-08-12,Criciúma,2–0,Londrina
245,2023-08-12,Sampaio Corrêa,1–1,CRB
246,2023-08-12,Botafogo (SP),0–0,Ponte Preta
247,2023-08-12,Vila Nova,1–1,Avaí
248,2023-08-11,Tombense Futebol Clube,0–0,Sport Recife
249,2023-08-13,Chapecoense,0–1,Atl Goianiense
250,2023-08-13,Guarani,0–1,Juventude
251,2023-08-13,Vitória,1–0,Ceará
252,2023-08-14,ABC,1–1,Ituano
254,2023-08-17,Londrina,0–2,Atl Goianiense
255,2023-08-18,Vitória,2–0,Botafogo (SP)
256,2023-08-17,Vila Nova,2–0,Mirassol Futebol Clube
257,2023-08-19,Avaí,4–2,Tombense Futebol Clube
258,2023-08-19,Ituano,3–0,Criciúma
259,2023-08-19,ABC,1–2,CRB
260,2023-08-19,Juventude,0–0,Sampaio Corrêa
261,2023-08-18,Guarani,3–1,Sport Recife
262,2023-08-20,Grêmio Novorizontino,1–2,Chapecoense
263,2023-08-20,Ceará,1–1,Ponte Preta
265,2023-08-22,Mirassol Futebol Clube,0–1,Juventude
267,2023-08-23,CRB,1–1,Avaí
269,2023-08-22,Criciúma,1–0,Vila Nova
271,2023-08-23,Botafogo (SP),1–2,Chapecoense
273,2023-08-25,Ponte Preta,1–0,Londrina
274,2023-08-26,Tombense Futebol Clube,2–2,Ceará
275,2023-08-26,Sampaio Corrêa,1–1,Guarani
276,2023-08-26,CRB,1–0,Grêmio Novorizontino
277,2023-08-25,Sport Recife,1–2,Ituano
278,2023-08-27,Chapecoense,0–0,Avaí
279,2023-08-27,Atl Goianiense,0–0,Vitória
280,2023-08-28,Botafogo (SP),0–0,ABC
282,2023-08-30,Grêmio Novorizontino,2–0,Ituano
283,2023-09-01,Vitória,0–0,Mirassol Futebol Clube
284,2023-08-31,Juventude,0–0,Chapecoense
285,2023-09-02,Avaí,0–2,Atl Goianiense
286,2023-09-02,ABC,1–1,Sampaio Corrêa
287,2023-09-02,Ceará,1–0,Criciúma
288,2023-09-02,Guarani,1–0,Ponte Preta
289,2023-09-01,Londrina,1–1,Tombense Futebol Clube
290,2023-09-03,Vila Nova,0–1,CRB
291,2023-09-03,Botafogo (SP),1–1,Sport Recife
293,2023-09-05,Chapecoense,0–1,Guarani
294,2023-09-07,Tombense Futebol Clube,3–0,ABC
295,2023-09-06,Ceará,3–1,Londrina
296,2023-09-08,Ituano,1–2,Vila Nova
297,2023-09-09,Ponte Preta,0–0,Sampaio Corrêa
298,2023-09-09,Mirassol Futebol Clube,1–0,Botafogo (SP)
299,2023-09-09,Sport Recife,3–3,Criciúma
300,2023-09-10,Atl Goianiense,3–0,Juventude
301,2023-09-10,CRB,6–0,Vitória
302,2023-09-11,Avaí,1–0,Grêmio Novorizontino
304,2023-09-14,Londrina,2–2,Ituano
305,2023-09-15,Vila Nova,1–1,Ponte Preta
306,2023-09-16,Criciúma,2–1,Mirassol Futebol Clube
307,2023-09-16,Sampaio Corrêa,2–0,Chapecoense
308,2023-09-16,Botafogo (SP),1–0,Atl Goianiense
309,2023-09-16,Juventude,3–1,CRB
310,2023-09-15,ABC,0–1,Sport Recife
311,2023-09-17,Guarani,3–0,Tombense Futebol Clube
312,2023-09-17,Vitória,3–0,Avaí
313,2023-09-18,Grêmio Novorizontino,4–1,Ceará
